     Alt            CO2               CO                O                N2                H2               H              Ar             He                  H2O
   589.000000       1758.43140       2897.88037       213340416.       1987.67603       9073.24316       8142981.00       2176.38354       299417.094       2105.10181    
   592.000000       1758.45374       2897.88037       213340496.       1987.69165       9073.24316       8907285.00       2176.40234       299417.094       2105.28857    
   595.000000       1758.47388       2897.88037       213340560.       1987.70569       9073.24316       9740166.00       2176.41919       299417.094       2105.45874    
   598.000000       1758.49219       2897.88037       213340608.       1987.71851       9073.24316       10641960.0       2176.43457       299417.094       2105.61304    
   601.000000       2604.98145       4292.99658       316048288.       2944.59180       13441.3428       11898272.0       3224.14771       443564.344       3118.50879    
   604.000000       2605.01465       4292.99658       316048384.       2944.61523       13441.3428       13019424.0       3224.17578       443564.344       3118.79004    
   607.000000       2605.04517       4292.99658       316048448.       2944.63647       13441.3428       14235723.0       3224.20117       443564.344       3119.04541    
   610.000000       2605.07300       4292.99658       316048512.       2944.65601       13441.3428       15556135.0       3224.22412       443564.344       3119.27759    
   613.000000       2605.09790       4292.99658       316048544.       2944.67358       13441.3428       16993562.0       3224.24536       443564.344       3119.48926    
   616.000000       2605.12109       4292.99658       316048608.       2944.68945       13441.3428       18554316.0       3224.26440       443564.344       3119.68213    
   619.000000       2605.14185       4292.99658       316048608.       2944.70410       13441.3428       20244628.0       3224.28174       443564.344       3119.85718    
   622.000000       2605.16064       4292.99658       316048640.       2944.71729       13441.3428       22071002.0       3224.29761       443564.344       3120.01636    
   625.000000       2605.17798       4292.99658       316048704.       2944.72949       13441.3428       24040878.0       3224.31201       443564.344       3120.16089    
   628.000000       2605.19360       4292.99658       316048704.       2944.74023       13441.3428       26171456.0       3224.32520       443564.344       3120.29248    
   631.000000       2605.20801       4292.99658       316048704.       2944.75024       13441.3428       28465036.0       3224.33716       443564.344       3120.41284    
   634.000000       2605.22095       4292.99658       316048736.       2944.75952       13441.3428       30931436.0       3224.34814       443564.344       3120.52173    
   637.000000       2605.23267       4292.99658       316048768.       2944.76782       13441.3428       33580068.0       3224.35791       443564.344       3120.62109    
   640.000000       2605.24341       4292.99658       316048768.       2944.77515       13441.3428       36413860.0       3224.36694       443564.344       3120.71143    
   643.000000       2605.25317       4292.99658       316048768.       2944.78198       13441.3428       39446460.0       3224.37524       443564.344       3120.79370    
   646.000000       2605.26221       4292.99658       316048768.       2944.78809       13441.3428       42678832.0       3224.38281       443564.344       3120.86841    
   649.000000       2605.27026       4292.99658       316048768.       2944.79370       13441.3428       46110428.0       3224.38916       443564.344       3120.93628    
   652.000000       2605.27759       4292.99658       316048800.       2944.79907       13441.3428       49758500.0       3224.39551       443564.344       3120.99829    
   655.000000       2605.28442       4292.99658       316048800.       2944.80347       13441.3428       53609764.0       3224.40112       443564.344       3121.05444    
   658.000000       2605.29053       4292.99658       316048800.       2944.80786       13441.3428       57679876.0       3224.40601       443564.344       3121.10571    
   661.000000       2605.29590       4292.99658       316048800.       2944.81177       13441.3428       61940336.0       3224.41064       443564.344       3121.15234    
   664.000000       2605.30103       4292.99658       316048800.       2944.81519       13441.3428       66413992.0       3224.41479       443564.344       3121.19458    
   667.000000       2605.30542       4292.99658       316048800.       2944.81836       13441.3428       71088016.0       3224.41870       443564.344       3121.23340    
   670.000000       2605.30957       4292.99658       316048800.       2944.82153       13441.3428       75947048.0       3224.42236       443564.344       3121.26831    
   673.000000       2605.31348       4292.99658       316048832.       2944.82397       13441.3428       80999088.0       3224.42578       443564.344       3121.30029    
   676.000000       2605.31689       4292.99658       316048832.       2944.82642       13441.3428       86182240.0       3224.42847       443564.344       3121.32910    
   679.000000       2605.32007       4292.99658       316048832.       2944.82861       13441.3428       91536800.0       3224.43115       443564.344       3121.35547    
   682.000000       2605.32300       4292.99658       316048832.       2944.83057       13441.3428       97032568.0       3224.43335       443564.344       3121.37988    
   685.000000       2605.32544       4292.99658       316048832.       2944.83252       13441.3428       102594944.       3224.43579       443564.344       3121.40161    
   688.000000       2605.32812       4292.99658       316048832.       2944.83423       13441.3428       108259464.       3224.43750       443564.344       3121.42139    
   691.000000       2605.33008       4292.99658       316048832.       2944.83569       13441.3428       113998200.       3224.43945       443564.344       3121.43945    
   694.000000       2605.33228       4292.99658       316048832.       2944.83691       13441.3428       119730824.       3224.44092       443564.344       3121.45605    
   697.000000       2605.33374       4292.99658       316048832.       2944.83813       13441.3428       125536384.       3224.44263       443564.344       3121.47095    
